"V160001","V161126","V161196","V161342","V162034a","V162148"
300386,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","1. Favor","2. Female","2. Donald Trump","2. Oppose"
300389,"4. Moderate, middle of the road","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
300398,"4. Moderate, middle of the road","2. Oppose","2. Female","1. Hillary Clinton","3. Neither favor nor oppose"
300400,"5. Slightly conservative","3. Neither favor nor oppose","2. Female","2. Donald Trump","2. Oppose"
300402,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","1. Favor","1. Male","2. Donald Trump","1. Favor"
300404,"2. Liberal","2. Oppose","2. Female","1. Hillary Clinton","3. Neither favor nor oppose"
300406,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","2. Oppose","2. Female","1. Hillary Clinton","3. Neither favor nor oppose"
300408,"6. Conservative","3. Neither favor nor oppose","1. Male","2. Donald Trump","2. Oppose"
300424,"4. Moderate, middle of the road","1. Favor","2. Female","1. Hillary Clinton","2. Oppose"
300437,"3. Slightly liberal","2. Oppose","1. Male","2. Donald Trump","1. Favor"
300450,"3. Slightly liberal","1. Favor","1. Male","2. Donald Trump","1. Favor"
300453,"4. Moderate, middle of the road","2. Oppose","2. Female","2. Donald Trump","1. Favor"
300456,"4. Moderate, middle of the road","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
300465,"4. Moderate, middle of the road","1. Favor","2. Female","2. Donald Trump","1. Favor"
300467,"6. Conservative","1. Favor","1. Male","2. Donald Trump","2. Oppose"
300482,"2. Liberal","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
300501,"7. Extremely conservative","1. Favor","2. Female","2. Donald Trump","2. Oppose"
300517,"6. Conservative","2. Oppose","1. Male","3. Gary Johnson","2. Oppose"
300518,"7. Extremely conservative","1. Favor","1. Male","2. Donald Trump","2. Oppose"
300522,"6. Conservative","1. Favor","2. Female","2. Donald Trump","2. Oppose"
300526,"4. Moderate, middle of the road","3. Neither favor nor oppose","2. Female","2. Donald Trump","2. Oppose"
300534,"6. Conservative","2. Oppose","1. Male","1. Hillary Clinton","2. Oppose"
300540,"4. Moderate, middle of the road","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
300541,"5. Slightly conservative","3. Neither favor nor oppose","2. Female","3. Gary Johnson","1. Favor"
300545,"1. Extremely liberal","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
300549,"6. Conservative","2. Oppose","2. Female","3. Gary Johnson","2. Oppose"
300552,"6. Conservative","3. Neither favor nor oppose","2. Female","2. Donald Trump","2. Oppose"
300554,"1. Extremely liberal","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
