"V160001","V161126","V161196","V161342","V162034a","V162148"
402664,"2. Liberal","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
402670,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","3. Neither favor nor oppose","2. Female","1. Hillary Clinton","1. Favor"
402672,"4. Moderate, middle of the road","2. Oppose","2. Female","1. Hillary Clinton","3. Neither favor nor oppose"
402673,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","1. Favor","2. Female","1. Hillary Clinton","2. Oppose"
402681,"2. Liberal","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
402682,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","3. Neither favor nor oppose","2. Female","2. Donald Trump","2. Oppose"
402684,"6. Conservative","1. Favor","1. Male","2. Donald Trump","3. Neither favor nor oppose"
402691,"4. Moderate, middle of the road","1. Favor","2. Female","2. Donald Trump","3. Neither favor nor oppose"
402692,"2. Liberal","2. Oppose","1. Male","2. Donald Trump","1. Favor"
402694,"2. Liberal","3. Neither favor nor oppose","1. Male","1. Hillary Clinton","1. Favor"
402696,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","1. Favor","1. Male","2. Donald Trump","2. Oppose"
402699,"6. Conservative","1. Favor","1. Male","2. Donald Trump","2. Oppose"
402700,"3. Slightly liberal","2. Oppose","1. Male","1. Hillary Clinton","2. Oppose"
402713,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","2. Oppose","2. Female","1. Hillary Clinton","3. Neither favor nor oppose"
402722,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","1. Favor","2. Female","2. Donald Trump","3. Neither favor nor oppose"
402724,"7. Extremely conservative","1. Favor","1. Male","2. Donald Trump","2. Oppose"
402726,"7. Extremely conservative","1. Favor","2. Female","2. Donald Trump","2. Oppose"
402727,"1. Extremely liberal","3. Neither favor nor oppose","2. Female","2. Donald Trump","1. Favor"
402732,"5. Slightly conservative","2. Oppose","2. Female","3. Gary Johnson","2. Oppose"
402734,"6. Conservative","1. Favor","1. Male","2. Donald Trump","2. Oppose"
402735,"3. Slightly liberal","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
402742,"5. Slightly conservative","3. Neither favor nor oppose","2. Female","2. Donald Trump","2. Oppose"
402745,"6. Conservative","1. Favor","1. Male","2. Donald Trump","2. Oppose"
402746,"2. Liberal","2. Oppose","2. Female","1. Hillary Clinton","3. Neither favor nor oppose"
402751,"3. Slightly liberal","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
402753,"6. Conservative","1. Favor","1. Male","2. Donald Trump","2. Oppose"
402756,"5. Slightly conservative","1. Favor","1. Male","2. Donald Trump","2. Oppose"
402758,"3. Slightly liberal","2. Oppose","1. Male","1. Hillary Clinton","3. Neither favor nor oppose"
402759,"3. Slightly liberal","3. Neither favor nor oppose","1. Male","1. Hillary Clinton","1. Favor"
402767,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","1. Favor","2. Female","2. Donald Trump","3. Neither favor nor oppose"
402768,"1. Extremely liberal","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
402769,"5. Slightly conservative","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
402771,"4. Moderate, middle of the road","2. Oppose","1. Male","1. Hillary Clinton","3. Neither favor nor oppose"
402773,"6. Conservative","1. Favor","1. Male","2. Donald Trump","3. Neither favor nor oppose"
402778,"3. Slightly liberal","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
402782,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","2. Oppose","1. Male","1. Hillary Clinton","3. Neither favor nor oppose"
402783,"3. Slightly liberal","2. Oppose","2. Female","3. Gary Johnson","3. Neither favor nor oppose"
402785,"6. Conservative","1. Favor","1. Male","2. Donald Trump","2. Oppose"
402788,"5. Slightly conservative","2. Oppose","1. Male","1. Hillary Clinton","3. Neither favor nor oppose"
402795,"4. Moderate, middle of the road","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
402796,"6. Conservative","1. Favor","2. Female","2. Donald Trump","2. Oppose"
402800,"6. Conservative","1. Favor","1. Male","2. Donald Trump","2. Oppose"
402815,"7. Extremely conservative","1. Favor","2. Female","2. Donald Trump","1. Favor"
402816,"2. Liberal","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
402817,"6. Conservative","2. Oppose","2. Female","2. Donald Trump","3. Neither favor nor oppose"
402818,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
402822,"2. Liberal","2. Oppose","1. Male","1. Hillary Clinton","3. Neither favor nor oppose"
402823,"4. Moderate, middle of the road","2. Oppose","1. Male","1. Hillary Clinton","3. Neither favor nor oppose"
402825,"6. Conservative","3. Neither favor nor oppose","1. Male","2. Donald Trump","1. Favor"
402828,"2. Liberal","3. Neither favor nor oppose","2. Female","1. Hillary Clinton","1. Favor"
402834,"5. Slightly conservative","3. Neither favor nor oppose","1. Male","1. Hillary Clinton","3. Neither favor nor oppose"
402838,"6. Conservative","1. Favor","1. Male","2. Donald Trump","2. Oppose"
402849,"4. Moderate, middle of the road","1. Favor","2. Female","2. Donald Trump","1. Favor"
402850,"3. Slightly liberal","2. Oppose","1. Male","1. Hillary Clinton","3. Neither favor nor oppose"
402859,"3. Slightly liberal","2. Oppose","1. Male","3. Gary Johnson","2. Oppose"
402862,"6. Conservative","1. Favor","1. Male","2. Donald Trump","3. Neither favor nor oppose"
402870,"6. Conservative","1. Favor","2. Female","2. Donald Trump","2. Oppose"
402871,"3. Slightly liberal","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
402873,"4. Moderate, middle of the road","1. Favor","1. Male","2. Donald Trump","3. Neither favor nor oppose"
402874,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","1. Favor","2. Female","2. Donald Trump","3. Neither favor nor oppose"
402876,"2. Liberal","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
402878,"6. Conservative","1. Favor","2. Female","2. Donald Trump","3. Neither favor nor oppose"
402880,"4. Moderate, middle of the road","1. Favor","2. Female","2. Donald Trump","3. Neither favor nor oppose"
402883,"5. Slightly conservative","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
402884,"2. Liberal","3. Neither favor nor oppose","1. Male","1. Hillary Clinton","1. Favor"
402885,"2. Liberal","2. Oppose","2. Female","1. Hillary Clinton","3. Neither favor nor oppose"
402895,"2. Liberal","2. Oppose","2. Female","1. Hillary Clinton","3. Neither favor nor oppose"
402897,"3. Slightly liberal","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
402899,"4. Moderate, middle of the road","3. Neither favor nor oppose","2. Female","1. Hillary Clinton","2. Oppose"
402901,"4. Moderate, middle of the road","1. Favor","1. Male","2. Donald Trump","3. Neither favor nor oppose"
402902,"3. Slightly liberal","2. Oppose","2. Female","1. Hillary Clinton","3. Neither favor nor oppose"
402906,"6. Conservative","3. Neither favor nor oppose","1. Male","2. Donald Trump","3. Neither favor nor oppose"
402907,"2. Liberal","3. Neither favor nor oppose","1. Male","2. Donald Trump","2. Oppose"
402910,"1. Extremely liberal","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
402912,"6. Conservative","2. Oppose","2. Female","-9. Refused","2. Oppose"
402917,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","1. Favor","2. Female","2. Donald Trump","3. Neither favor nor oppose"
402919,"3. Slightly liberal","3. Neither favor nor oppose","2. Female","1. Hillary Clinton","1. Favor"
402931,"3. Slightly liberal","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
402941,"6. Conservative","1. Favor","1. Male","2. Donald Trump","2. Oppose"
402947,"2. Liberal","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
402948,"5. Slightly conservative","1. Favor","2. Female","2. Donald Trump","3. Neither favor nor oppose"
402956,"3. Slightly liberal","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
402957,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","2. Oppose","2. Female","1. Hillary Clinton","3. Neither favor nor oppose"
402959,"7. Extremely conservative","3. Neither favor nor oppose","2. Female","2. Donald Trump","2. Oppose"
402961,"7. Extremely conservative","1. Favor","2. Female","2. Donald Trump","2. Oppose"
402965,"4. Moderate, middle of the road","3. Neither favor nor oppose","2. Female","1. Hillary Clinton","1. Favor"
402967,"6. Conservative","1. Favor","2. Female","2. Donald Trump","2. Oppose"
402968,"5. Slightly conservative","3. Neither favor nor oppose","1. Male","2. Donald Trump","3. Neither favor nor oppose"
402969,"4. Moderate, middle of the road","2. Oppose","1. Male","2. Donald Trump","3. Neither favor nor oppose"
402976,"6. Conservative","1. Favor","1. Male","2. Donald Trump","2. Oppose"
402979,"2. Liberal","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
402986,"5. Slightly conservative","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
402990,"2. Liberal","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
403001,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","3. Neither favor nor oppose","2. Female","2. Donald Trump","3. Neither favor nor oppose"
403006,"1. Extremely liberal","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
403013,"6. Conservative","1. Favor","1. Male","2. Donald Trump","2. Oppose"
403023,"4. Moderate, middle of the road","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
403025,"3. Slightly liberal","3. Neither favor nor oppose","2. Female","1. Hillary Clinton","2. Oppose"
403032,"6. Conservative","1. Favor","1. Male","2. Donald Trump","2. Oppose"
403033,"4. Moderate, middle of the road","1. Favor","2. Female","2. Donald Trump","2. Oppose"
403035,"2. Liberal","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
403036,"3. Slightly liberal","3. Neither favor nor oppose","1. Male","1. Hillary Clinton","1. Favor"
403041,"2. Liberal","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
403042,"4. Moderate, middle of the road","2. Oppose","1. Male","1. Hillary Clinton","2. Oppose"
403053,"3. Slightly liberal","3. Neither favor nor oppose","1. Male","2. Donald Trump","1. Favor"
403057,"3. Slightly liberal","1. Favor","1. Male","2. Donald Trump","2. Oppose"
403059,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","2. Oppose","1. Male","1. Hillary Clinton","2. Oppose"
403060,"3. Slightly liberal","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
403064,"4. Moderate, middle of the road","1. Favor","2. Female","3. Gary Johnson","1. Favor"
403071,"2. Liberal","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
403078,"5. Slightly conservative","3. Neither favor nor oppose","2. Female","2. Donald Trump","2. Oppose"
403090,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","3. Neither favor nor oppose","1. Male","1. Hillary Clinton","3. Neither favor nor oppose"
403093,"2. Liberal","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
403097,"-9. Refused","1. Favor","1. Male","1. Hillary Clinton","2. Oppose"
403098,"5. Slightly conservative","2. Oppose","1. Male","2. Donald Trump","3. Neither favor nor oppose"
403105,"2. Liberal","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
403108,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","3. Neither favor nor oppose","2. Female","1. Hillary Clinton","1. Favor"
403111,"3. Slightly liberal","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
403115,"5. Slightly conservative","3. Neither favor nor oppose","2. Female","3. Gary Johnson","3. Neither favor nor oppose"
403120,"5. Slightly conservative","3. Neither favor nor oppose","2. Female","4. Jill Stein","1. Favor"
403122,"5. Slightly conservative","1. Favor","1. Male","2. Donald Trump","3. Neither favor nor oppose"
403123,"3. Slightly liberal","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
403125,"6. Conservative","3. Neither favor nor oppose","2. Female","2. Donald Trump","1. Favor"
403135,"4. Moderate, middle of the road","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
403136,"3. Slightly liberal","2. Oppose","2. Female","1. Hillary Clinton","2. Oppose"
403143,"4. Moderate, middle of the road","3. Neither favor nor oppose","1. Male","1. Hillary Clinton","1. Favor"
403145,"6. Conservative","2. Oppose","2. Female","3. Gary Johnson","1. Favor"
403152,"6. Conservative","1. Favor","1. Male","2. Donald Trump","3. Neither favor nor oppose"
403154,"2. Liberal","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
403155,"5. Slightly conservative","1. Favor","2. Female","2. Donald Trump","3. Neither favor nor oppose"
403159,"4. Moderate, middle of the road","2. Oppose","2. Female","-9. Refused","1. Favor"
403160,"5. Slightly conservative","1. Favor","1. Male","2. Donald Trump","3. Neither favor nor oppose"
403164,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","3. Neither favor nor oppose","2. Female","1. Hillary Clinton","1. Favor"
403166,"5. Slightly conservative","3. Neither favor nor oppose","1. Male","2. Donald Trump","1. Favor"
403170,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","2. Oppose","2. Female","1. Hillary Clinton","3. Neither favor nor oppose"
403172,"2. Liberal","1. Favor","2. Female","1. Hillary Clinton","1. Favor"
403173,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","3. Neither favor nor oppose","2. Female","1. Hillary Clinton","3. Neither favor nor oppose"
403175,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","3. Neither favor nor oppose","2. Female","1. Hillary Clinton","1. Favor"
403176,"6. Conservative","1. Favor","1. Male","2. Donald Trump","2. Oppose"
403178,"2. Liberal","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
403187,"5. Slightly conservative","3. Neither favor nor oppose","2. Female","3. Gary Johnson","1. Favor"
403192,"3. Slightly liberal","2. Oppose","1. Male","1. Hillary Clinton","3. Neither favor nor oppose"
403195,"3. Slightly liberal","2. Oppose","1. Male","1. Hillary Clinton","3. Neither favor nor oppose"
403203,"2. Liberal","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
403213,"4. Moderate, middle of the road","1. Favor","1. Male","1. Hillary Clinton","1. Favor"
403214,"6. Conservative","1. Favor","1. Male","2. Donald Trump","2. Oppose"
403216,"6. Conservative","1. Favor","2. Female","2. Donald Trump","3. Neither favor nor oppose"
403220,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","2. Oppose","2. Female","1. Hillary Clinton","2. Oppose"
403221,"1. Extremely liberal","2. Oppose","2. Female","1. Hillary Clinton","3. Neither favor nor oppose"
403222,"6. Conservative","1. Favor","1. Male","2. Donald Trump","2. Oppose"
403226,"6. Conservative","1. Favor","1. Male","2. Donald Trump","3. Neither favor nor oppose"
403228,"3. Slightly liberal","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
403230,"4. Moderate, middle of the road","1. Favor","1. Male","2. Donald Trump","3. Neither favor nor oppose"
403237,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
403272,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","3. Neither favor nor oppose","2. Female","2. Donald Trump","1. Favor"
403277,"3. Slightly liberal","3. Neither favor nor oppose","2. Female","3. Gary Johnson","2. Oppose"
403278,"6. Conservative","1. Favor","1. Male","2. Donald Trump","2. Oppose"
403282,"2. Liberal","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
403286,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","1. Favor","2. Female","2. Donald Trump","2. Oppose"
403287,"7. Extremely conservative","3. Neither favor nor oppose","2. Female","2. Donald Trump","1. Favor"
403293,"6. Conservative","3. Neither favor nor oppose","1. Male","2. Donald Trump","2. Oppose"
403296,"5. Slightly conservative","1. Favor","2. Female","2. Donald Trump","3. Neither favor nor oppose"
403297,"3. Slightly liberal","2. Oppose","2. Female","1. Hillary Clinton","3. Neither favor nor oppose"
403298,"5. Slightly conservative","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
403306,"3. Slightly liberal","2. Oppose","2. Female","1. Hillary Clinton","3. Neither favor nor oppose"
403308,"4. Moderate, middle of the road","3. Neither favor nor oppose","1. Male","2. Donald Trump","3. Neither favor nor oppose"
403314,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","3. Neither favor nor oppose","2. Female","2. Donald Trump","3. Neither favor nor oppose"
403317,"7. Extremely conservative","3. Neither favor nor oppose","2. Female","2. Donald Trump","2. Oppose"
403322,"-9. Refused","1. Favor","1. Male","2. Donald Trump","1. Favor"
403323,"3. Slightly liberal","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
403330,"7. Extremely conservative","2. Oppose","1. Male","2. Donald Trump","2. Oppose"
403336,"7. Extremely conservative","1. Favor","2. Female","2. Donald Trump","2. Oppose"
403345,"1. Extremely liberal","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
403347,"5. Slightly conservative","1. Favor","1. Male","2. Donald Trump","2. Oppose"
403348,"5. Slightly conservative","1. Favor","1. Male","2. Donald Trump","3. Neither favor nor oppose"
403353,"5. Slightly conservative","1. Favor","2. Female","2. Donald Trump","3. Neither favor nor oppose"
403358,"4. Moderate, middle of the road","2. Oppose","1. Male","1. Hillary Clinton","3. Neither favor nor oppose"
403367,"5. Slightly conservative","2. Oppose","1. Male","1. Hillary Clinton","2. Oppose"
403368,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","3. Neither favor nor oppose","1. Male","1. Hillary Clinton","2. Oppose"
403373,"4. Moderate, middle of the road","2. Oppose","1. Male","3. Gary Johnson","2. Oppose"
403374,"3. Slightly liberal","2. Oppose","2. Female","2. Donald Trump","1. Favor"
403376,"4. Moderate, middle of the road","2. Oppose","2. Female","1. Hillary Clinton","2. Oppose"
403382,"7. Extremely conservative","1. Favor","1. Male","2. Donald Trump","2. Oppose"
403383,"2. Liberal","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
403386,"3. Slightly liberal","3. Neither favor nor oppose","1. Male","1. Hillary Clinton","1. Favor"
403392,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","1. Favor","2. Female","2. Donald Trump","1. Favor"
403396,"3. Slightly liberal","2. Oppose","2. Female","3. Gary Johnson","1. Favor"
403399,"6. Conservative","1. Favor","1. Male","2. Donald Trump","2. Oppose"
403401,"1. Extremely liberal","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
403402,"4. Moderate, middle of the road","1. Favor","2. Female","2. Donald Trump","2. Oppose"
403404,"3. Slightly liberal","3. Neither favor nor oppose","1. Male","1. Hillary Clinton","1. Favor"
403410,"4. Moderate, middle of the road","3. Neither favor nor oppose","2. Female","1. Hillary Clinton","1. Favor"
403413,"3. Slightly liberal","2. Oppose","2. Female","1. Hillary Clinton","3. Neither favor nor oppose"
403414,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","1. Favor","2. Female","1. Hillary Clinton","1. Favor"
403416,"5. Slightly conservative","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
403418,"6. Conservative","1. Favor","1. Male","2. Donald Trump","2. Oppose"
403421,"3. Slightly liberal","2. Oppose","2. Female","1. Hillary Clinton","2. Oppose"
403423,"2. Liberal","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
403424,"4. Moderate, middle of the road","3. Neither favor nor oppose","1. Male","1. Hillary Clinton","3. Neither favor nor oppose"
403427,"3. Slightly liberal","2. Oppose","1. Male","2. Donald Trump","1. Favor"
403431,"6. Conservative","3. Neither favor nor oppose","2. Female","2. Donald Trump","2. Oppose"
403432,"2. Liberal","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
403442,"4. Moderate, middle of the road","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
403443,"6. Conservative","1. Favor","1. Male","2. Donald Trump","2. Oppose"
403454,"6. Conservative","3. Neither favor nor oppose","1. Male","2. Donald Trump","1. Favor"
403457,"2. Liberal","2. Oppose","2. Female","3. Gary Johnson","1. Favor"
403459,"6. Conservative","1. Favor","2. Female","2. Donald Trump","2. Oppose"
403463,"6. Conservative","3. Neither favor nor oppose","1. Male","2. Donald Trump","2. Oppose"
403470,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
403471,"2. Liberal","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
403478,"3. Slightly liberal","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
403480,"4. Moderate, middle of the road","1. Favor","2. Female","2. Donald Trump","3. Neither favor nor oppose"
403481,"2. Liberal","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
403484,"6. Conservative","1. Favor","1. Male","2. Donald Trump","3. Neither favor nor oppose"
403495,"2. Liberal","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
403498,"3. Slightly liberal","2. Oppose","2. Female","1. Hillary Clinton","3. Neither favor nor oppose"
403500,"3. Slightly liberal","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
403505,"6. Conservative","3. Neither favor nor oppose","2. Female","2. Donald Trump","3. Neither favor nor oppose"
403508,"7. Extremely conservative","1. Favor","2. Female","2. Donald Trump","2. Oppose"
403510,"7. Extremely conservative","1. Favor","2. Female","2. Donald Trump","3. Neither favor nor oppose"
403512,"2. Liberal","3. Neither favor nor oppose","2. Female","1. Hillary Clinton","3. Neither favor nor oppose"
403517,"2. Liberal","2. Oppose","1. Male","1. Hillary Clinton","3. Neither favor nor oppose"
403519,"3. Slightly liberal","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
403523,"3. Slightly liberal","2. Oppose","2. Female","4. Jill Stein","1. Favor"
403527,"6. Conservative","1. Favor","1. Male","2. Donald Trump","2. Oppose"
403538,"4. Moderate, middle of the road","2. Oppose","2. Female","1. Hillary Clinton","3. Neither favor nor oppose"
403540,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","1. Favor","2. Female","1. Hillary Clinton","3. Neither favor nor oppose"
403541,"4. Moderate, middle of the road","3. Neither favor nor oppose","1. Male","1. Hillary Clinton","1. Favor"
403546,"2. Liberal","2. Oppose","2. Female","1. Hillary Clinton","3. Neither favor nor oppose"
403563,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","2. Oppose","2. Female","1. Hillary Clinton","3. Neither favor nor oppose"
403567,"4. Moderate, middle of the road","3. Neither favor nor oppose","2. Female","2. Donald Trump","2. Oppose"
403570,"5. Slightly conservative","3. Neither favor nor oppose","1. Male","2. Donald Trump","2. Oppose"
403571,"3. Slightly liberal","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
403573,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","3. Neither favor nor oppose","2. Female","1. Hillary Clinton","3. Neither favor nor oppose"
403577,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","3. Neither favor nor oppose","2. Female","1. Hillary Clinton","3. Neither favor nor oppose"
403578,"4. Moderate, middle of the road","1. Favor","2. Female","1. Hillary Clinton","3. Neither favor nor oppose"
403581,"5. Slightly conservative","1. Favor","2. Female","2. Donald Trump","2. Oppose"
403603,"2. Liberal","2. Oppose","1. Male","1. Hillary Clinton","3. Neither favor nor oppose"
403609,"4. Moderate, middle of the road","1. Favor","2. Female","2. Donald Trump","2. Oppose"
403616,"6. Conservative","3. Neither favor nor oppose","1. Male","2. Donald Trump","3. Neither favor nor oppose"
403620,"4. Moderate, middle of the road","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
403623,"3. Slightly liberal","2. Oppose","1. Male","3. Gary Johnson","2. Oppose"
403624,"5. Slightly conservative","3. Neither favor nor oppose","1. Male","2. Donald Trump","2. Oppose"
403625,"4. Moderate, middle of the road","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
403626,"5. Slightly conservative","1. Favor","2. Female","2. Donald Trump","2. Oppose"
403630,"5. Slightly conservative","2. Oppose","1. Male","3. Gary Johnson","1. Favor"
403634,"2. Liberal","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
403635,"2. Liberal","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
403653,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","1. Favor","2. Female","2. Donald Trump","3. Neither favor nor oppose"
403658,"6. Conservative","2. Oppose","2. Female","1. Hillary Clinton","3. Neither favor nor oppose"
403660,"5. Slightly conservative","1. Favor","2. Female","1. Hillary Clinton","2. Oppose"
403661,"6. Conservative","3. Neither favor nor oppose","1. Male","2. Donald Trump","3. Neither favor nor oppose"
403669,"1. Extremely liberal","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
403670,"4. Moderate, middle of the road","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
403672,"4. Moderate, middle of the road","3. Neither favor nor oppose","1. Male","2. Donald Trump","2. Oppose"
403682,"3. Slightly liberal","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
403684,"5. Slightly conservative","1. Favor","1. Male","3. Gary Johnson","3. Neither favor nor oppose"
403685,"6. Conservative","1. Favor","1. Male","2. Donald Trump","2. Oppose"
403697,"4. Moderate, middle of the road","2. Oppose","2. Female","1. Hillary Clinton","2. Oppose"
403706,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","1. Favor","2. Female","2. Donald Trump","2. Oppose"
403707,"4. Moderate, middle of the road","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
403716,"2. Liberal","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
403718,"3. Slightly liberal","2. Oppose","1. Male","1. Hillary Clinton","2. Oppose"
403723,"4. Moderate, middle of the road","3. Neither favor nor oppose","2. Female","1. Hillary Clinton","3. Neither favor nor oppose"
403732,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","3. Neither favor nor oppose","2. Female","1. Hillary Clinton","3. Neither favor nor oppose"
403738,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","3. Neither favor nor oppose","1. Male","2. Donald Trump","3. Neither favor nor oppose"
403740,"4. Moderate, middle of the road","2. Oppose","2. Female","2. Donald Trump","1. Favor"
403741,"4. Moderate, middle of the road","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
403744,"2. Liberal","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
403746,"4. Moderate, middle of the road","3. Neither favor nor oppose","1. Male","2. Donald Trump","2. Oppose"
403748,"7. Extremely conservative","1. Favor","2. Female","2. Donald Trump","2. Oppose"
403749,"3. Slightly liberal","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
403750,"3. Slightly liberal","2. Oppose","2. Female","1. Hillary Clinton","3. Neither favor nor oppose"
403752,"2. Liberal","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
403758,"5. Slightly conservative","1. Favor","1. Male","2. Donald Trump","3. Neither favor nor oppose"
403761,"2. Liberal","3. Neither favor nor oppose","2. Female","1. Hillary Clinton","1. Favor"
403773,"6. Conservative","1. Favor","1. Male","2. Donald Trump","2. Oppose"
403779,"6. Conservative","1. Favor","2. Female","2. Donald Trump","3. Neither favor nor oppose"
403781,"2. Liberal","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
403792,"4. Moderate, middle of the road","3. Neither favor nor oppose","1. Male","1. Hillary Clinton","1. Favor"
403796,"2. Liberal","2. Oppose","2. Female","1. Hillary Clinton","2. Oppose"
403800,"4. Moderate, middle of the road","1. Favor","2. Female","1. Hillary Clinton","3. Neither favor nor oppose"
403801,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","1. Favor","1. Male","2. Donald Trump","1. Favor"
403813,"4. Moderate, middle of the road","1. Favor","2. Female","2. Donald Trump","3. Neither favor nor oppose"
403821,"7. Extremely conservative","3. Neither favor nor oppose","2. Female","2. Donald Trump","2. Oppose"
